RecommendationDate,subidhash,resourcenamehash,CurrentSKU,RecommendedSKU
1/5/2020,1f9b58d83e5c72380182b2eec72c1c903d7ee8d8af3eb6bbc10f5115518ed806,2011d67cc49218b22a570e573f1a2cea0043b9af416a6d04db9f0b290ce9694c,Standard_DS3_v2,Standard_DS2_v2
1/5/2020,3e4c27ebca8c7721898ca5f9bbb6af5d2da5384b549754bd28d8563f2ea29830,2597ea358446167565b9fbebbe5d4c68b6dfd97fa1950714c8a6cc8479e44738,Standard_DS12_v2,Standard_DS3_v2
1/5/2020,d6a59c82b19edd4e7c8f72a8ffe69005064ac8567fec12df53e6dd384b32c999,bce95276a0937b77f6edc3fc177cef4aec40805ef74d7eb708e985c1063b9bf8,Standard_DS12_v2,Standard_DS3_v2
1/5/2020,d6a59c82b19edd4e7c8f72a8ffe69005064ac8567fec12df53e6dd384b32c999,594f22d1a68be920993f2d6fefe67cb26358cefc1c5121cad06ad84b5203e90d,Standard_DS12_v2,Standard_DS3_v2
1/5/2020,d6a59c82b19edd4e7c8f72a8ffe69005064ac8567fec12df53e6dd384b32c999,8a0835d9819c979d2aaaa08c75c7d17447088663bf0c7823ff3b924ee5425249,Standard_DS12_v2,Standard_DS3_v2
1/5/2020,d6a59c82b19edd4e7c8f72a8ffe69005064ac8567fec12df53e6dd384b32c999,a174a41fceee79f99a028bae61bfd3471420cc70302cf10b61a4b69bfd685ac7,Standard_DS12_v2,Standard_DS3_v2
1/5/2020,d6a59c82b19edd4e7c8f72a8ffe69005064ac8567fec12df53e6dd384b32c999,974b2835136b8e418963ba6162ad36798a3a00f3ece7a200f7ca3e82e8590743,Standard_DS4_v2,Standard_DS12-2_v2
1/5/2020,1e79fb96b5245055969eea0673803f8b6e1d214bf930a282fea787b4f7a8fac1,f5f9946d6b406ff95e9e531d948b2788a5b60326dff54dc9c8e182ab43282b20,Standard_D4s_v3,Standard_D2s_v3
1/5/2020,1e79fb96b5245055969eea0673803f8b6e1d214bf930a282fea787b4f7a8fac1,16bdd9205fd716afbbd6f0bc6373d6e6c273069248bf2ad73f6429c05b97aeb0,Standard_D12_v2,Standard_D3_v2
1/5/2020,1e79fb96b5245055969eea0673803f8b6e1d214bf930a282fea787b4f7a8fac1,fe32d2e1673979bbde45197693c18ea26135f0972a523f0bd9ecd09f56a8246c,Standard_D4_v2,Standard_D3_v2
1/5/2020,1e79fb96b5245055969eea0673803f8b6e1d214bf930a282fea787b4f7a8fac1,a9849f79a50ae9f199431ce2dcb734262eede9f111c16dc63e468f795b916774,Standard_D4_v2,Standard_D3_v2
1/5/2020,1e79fb96b5245055969eea0673803f8b6e1d214bf930a282fea787b4f7a8fac1,cc0582647443e5f66a3cea888212efe190ceceff67ae43801b021fa500e69936,Standard_D4_v2,Standard_D3_v2
1/5/2020,1e79fb96b5245055969eea0673803f8b6e1d214bf930a282fea787b4f7a8fac1,8fdff34fbbaf2f983f86b3608bd29191bc4a8d7b4c648529ab65e93dc50fb15a,Standard_D4_v2,Standard_D3_v2
1/5/2020,1e79fb96b5245055969eea0673803f8b6e1d214bf930a282fea787b4f7a8fac1,4bb1372fd86759f07ce30ea12b4ff8ff60e445cb034e81bbbfc77c14d54751fe,Standard_D12_v2,Standard_D2_v2
1/5/2020,1e79fb96b5245055969eea0673803f8b6e1d214bf930a282fea787b4f7a8fac1,f5cb73ac215d474c845d3e2e4d71673c36762f90cb5c878c2ab248277faa3804,Standard_D3_v2,Standard_D11_v2
1/5/2020,7ec895d14dbadd51d67e9a7295ce64f3e1425480278fe15251da28e074c92c83,de255b02486e4d0acd9ee3fa56fdb1bbb1e49065e4cb00c64f151efe831bbf9e,Standard_DS12_v2,Standard_DS2_v2
1/5/2020,b0bb26498c010b812b64d40efd6d51a426e9a9836c089af23bd7f18e200c89c3,cbbab25f8ab24520b454c706ec6c91297ff3e941e5fba429ab02dd4551c501b7,Standard_D4s_v3,Standard_D2s_v3
1/5/2020,b0bb26498c010b812b64d40efd6d51a426e9a9836c089af23bd7f18e200c89c3,f55f66acec62dd8229d8910c3863d31a9b9e62e4a78a567bcd704cd0c0d96df0,Standard_D11_v2,Standard_D2_v2
1/5/2020,b0bb26498c010b812b64d40efd6d51a426e9a9836c089af23bd7f18e200c89c3,7cce7ec321a476b0344a64ecf66f5949083db26d640a26609ad7659787ce9bb9,Standard_D4s_v3,Standard_D2s_v3
1/5/2020,b0bb26498c010b812b64d40efd6d51a426e9a9836c089af23bd7f18e200c89c3,25d2e23d646f5f0ca1dfd97314bcb10ccb6b5b822c8e68c7ead38f043d572c5a,Standard_D4_v2,Standard_D1_v2
1/5/2020,0d91f7ddccbb7ee96d59d5adfc229871645e52e9450986c110e7e962032c2ae8,f05e131b6c9f68dce5f7fab322f2079c01f21ff6787a1b65d9c9565c26b357bb,Standard_D4s_v3,Standard_D2s_v3
1/5/2020,6fd4a2ae0c159c05cd1a9821e485426e902df8423072625301ba8b3a567f68ab,97443e82482e88cb31cd9cad1b7de9097b247084cbef9048753351dbfb4d24ec,Standard_D8_v3,Standard_D4_v3
1/5/2020,6fd4a2ae0c159c05cd1a9821e485426e902df8423072625301ba8b3a567f68ab,cff67897dff5802a388f05c8638c025447f43fa56f9cfa7185c2ec559e0041eb,Standard_D4s_v3,Standard_D2s_v3
1/5/2020,6fd4a2ae0c159c05cd1a9821e485426e902df8423072625301ba8b3a567f68ab,cda9b2ae3dd42df9967076f62b1d478edfb35c6f21db2415b92b2615d777c3ae,Standard_DS5_v2,Standard_DS4_v2
1/5/2020,6fd4a2ae0c159c05cd1a9821e485426e902df8423072625301ba8b3a567f68ab,52f8dcd52a2d623a92d217243b75e93aa520cbc33cd2febf781640a0dbd97417,Standard_D4_v3,Standard_D2_v3
1/5/2020,6fd4a2ae0c159c05cd1a9821e485426e902df8423072625301ba8b3a567f68ab,36e4f6cb488a0dd69c53e482d2bc4ab757389b1dad836a4c5d8854ac5f68ebbd,Standard_D8s_v3,Standard_D4s_v3
1/5/2020,6fd4a2ae0c159c05cd1a9821e485426e902df8423072625301ba8b3a567f68ab,c3c7307cc660af715dd55212b6beec251cd0a3c1de9a115100b15b7b317c0ba6,Standard_D8s_v3,Standard_D4s_v3
1/5/2020,6fd4a2ae0c159c05cd1a9821e485426e902df8423072625301ba8b3a567f68ab,63292b04d78ed435f241bfc1abc9bbe088cb2fa1445633191bd64889b294d8de,Standard_D8s_v3,Standard_D4s_v3
1/5/2020,6fd4a2ae0c159c05cd1a9821e485426e902df8423072625301ba8b3a567f68ab,609a60b1b7b1c73e2bbe472e53056288d5fb653a2dde5ccd40e08aa1758b9c6a,Standard_D8s_v3,Standard_D4s_v3
1/5/2020,6fd4a2ae0c159c05cd1a9821e485426e902df8423072625301ba8b3a567f68ab,070a0b67ccfa5ec5a70035cf284a635307b9e28f4b89c4995aede8ac48251a50,Standard_D8_v3,Standard_D2_v3
1/5/2020,6fd4a2ae0c159c05cd1a9821e485426e902df8423072625301ba8b3a567f68ab,f8fc6bcd478e9c4279df02bb5e36bb8989264f0f7b787dda6f0a244f07d0c901,Standard_D8_v3,Standard_D4_v3
1/5/2020,7128c1d038f77c83bfd85f45c7a3f39bff31d9f159e08698ceaf608d3a6136a3,a51ebd1840099e57196549151d0f6242914d786d7de02daa140d1c6907e34e0b,Standard_DS1_v2,Standard_DS1_v2
1/5/2020,a6509f1a0cc250755033d01b8179b2fc49ae9aa82d7dfe5c4cf9c7fa6e833797,a83d7941a3973bb53ed9760e8784c17b4b519705ae54a9a76fe6c138cbb28c96,Standard_D2_v2,Standard_D1_v2
1/5/2020,a6509f1a0cc250755033d01b8179b2fc49ae9aa82d7dfe5c4cf9c7fa6e833797,98f015da9be07ad56895eb98f66221fa85e75c56fa86b9eb36a2e3649a5b66e0,Standard_DS2_v2,Standard_DS1_v2
1/5/2020,a6509f1a0cc250755033d01b8179b2fc49ae9aa82d7dfe5c4cf9c7fa6e833797,98f015da9be07ad56895eb98f66221fa85e75c56fa86b9eb36a2e3649a5b66e0,Standard_DS2_v2,Standard_DS1_v2
1/5/2020,a6509f1a0cc250755033d01b8179b2fc49ae9aa82d7dfe5c4cf9c7fa6e833797,98f015da9be07ad56895eb98f66221fa85e75c56fa86b9eb36a2e3649a5b66e0,Standard_DS2_v2,Standard_DS1_v2
1/5/2020,3a08d8e243773206a3cc749f15b71e96155f18bcaa345d65fa755264832136e9,7af9ac14df85d30c918033a7ae5254391833e18826c22ee1f263b75ee8d92987,Standard_D3_v2,Standard_D3_v2
1/5/2020,c21c41ce8025c8eb3233157953051d901e01e85c5a7e58cf5c73d6605cf6b34d,1254314327eb394fe2450cff06cc9bc551c6f47c0271bd987a003a93dab44a4c,Standard_D3_v2,Standard_D3_v2
1/5/2020,1bf3fb22f187c7878617e947523ff9f61534601bc02272433477a42726912cec,40f07cf22bb8f039a2894aa5989df14813f77418866cb3c02aa76a96147bab04,Standard_DS3_v2,Standard_DS2_v2
1/5/2020,1bf3fb22f187c7878617e947523ff9f61534601bc02272433477a42726912cec,3fa3641821edd69855ff541c3abe094494fee46ff67845178bf849d1e452f4fe,Standard_DS3_v2,Standard_DS2_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,a5d873cfbf74f5e3b249627b01ce4bb601c39543bbf9963e67791071f3e184c5,Standard_DS14_v2,Standard_DS4_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,b1af92b1c9ed1c5d8d01bc6f2096139c27368d69614d0a59df877be3d98699d4,Standard_D16s_v3,Standard_D4s_v3
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,8033de6fe2d5007549b17e0f6987dd2c8c295942c0bbb16783a47f71624f2c02,Standard_D16s_v3,Standard_D8s_v3
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,30a4fd0c937f061f160d39a8959ffb97d358415db3a53013510bac4c8fb99f4e,Standard_D4_v2,Standard_D3_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,88b3fae8e2bbf06945a496b4f730db7ee2b13586ead133b0797d19eeb2a08657,Standard_DS13_v2,Standard_DS3_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,a12b92e5d1d5f9f6e5c349cd54056fbec6181e11e12942f30d12f3fb009669e1,Standard_DS15_v2,Standard_DS5_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,fddad04e525ff51a160274c4971922d4f9c3a9ae958fb5d5ccb0415f8e4ba59d,Standard_DS14_v2,Standard_DS4_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,8dc0d74e3440e5e3082b7999f4388fda5fb05fff36f244262bafd645859deb65,Standard_DS3_v2,Standard_DS11-1_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,631565c45c36c991945991585f02723f696a8d260f819424455bf3a6a3f9734b,Standard_D4_v2,Standard_D3_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,a97861d9632ba69b397404009e852a7d8f909cad311e7063dff75e33e3dd9c01,Standard_D4_v2,Standard_D3_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,c76f8c29b744e7a490dba7ecadabf747eadb1ed4a786213a78b1fe1831a5a34b,Standard_DS12_v2,Standard_DS3_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,cc9c8ba7dc01a782cfa1d5635c3a3566612c044058ec3cb1f32d73ebb58e7c02,Standard_DS12_v2,Standard_DS3_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,377522361477e99bfcc9970b9a0761e0b113640064348603f0164eb662c0b605,Standard_D14_v2,Standard_D4_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,f6b3b43c4d2dec954b2dc0ccd9c91dba374a0b7d20ac77e0246afb92f8ea96a4,Standard_DS4_v2,Standard_DS3_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,3349082082a6edeef1d7eea921b011a4c387e88dc43e0a80de0c11e124c286f5,Standard_D4_v2,Standard_D12_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,bc0311ee323a868f47f2fc4eac8e5202531dcebd970d4b08cfdf355807429b9a,Standard_D4_v2,Standard_D3_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,76fda5ebdd75146882e390b355f7ed23d17ca638485be8e9283320ddb1ac2700,Standard_D4_v2,Standard_D3_v2
1/5/2020,7bece4ad84a391bdd2d11c794efde424e495ca877277c230797a97117de97668,2432c7a3a1defe41996ea9085367cd71ceec6a3f9266380ed6e8bce7b1136a22,Standard_DS14_v2,Standard_DS13-2_v2
1/5/2020,efd7007ea4bba44301c5f1db7d99a8bfb25e73466f1bf985a1c0f329833e40f7,46bed55c65518a8a2e3d4cdabd5582cd2fab4db6f0d5451de4379de4305125af,Standard_D13_v2,Standard_D12_v2
1/5/2020,efd7007ea4bba44301c5f1db7d99a8bfb25e73466f1bf985a1c0f329833e40f7,3c66ef38afba10a992c284dd21c0531860c6d286e32fc609353d7a24633a8697,Standard_D4_v2,Standard_D3_v2
1/5/2020,efd7007ea4bba44301c5f1db7d99a8bfb25e73466f1bf985a1c0f329833e40f7,5f337a63210a84acc9e3eb846d4b943d89b3a117dffbeb968824a04ba4d5e932,Standard_D13_v2,Standard_D12_v2
1/5/2020,efd7007ea4bba44301c5f1db7d99a8bfb25e73466f1bf985a1c0f329833e40f7,b3708bd15f0564258dfba6bedb72b89ca68b2e9abdf8d44932e810622f03940a,Standard_DS13_v2,Standard_DS11-1_v2
1/5/2020,efd7007ea4bba44301c5f1db7d99a8bfb25e73466f1bf985a1c0f329833e40f7,3376baaf281995885fb31af878ee90704bc7cd1d7998044b67802fce33bf6cf6,Standard_D13_v2,Standard_D12_v2
